Complexity metrics,Sat, 15 May 2021 14:51:06 EEST
Method,CogC,ev(G),iv(G),v(G)
"dagkalis.georgios.selectablerecyclerview.SelectableRecyclerViewAdapter.checkIfAllItemsSelected()",1,2,1,2
"dagkalis.georgios.selectablerecyclerview.SelectableRecyclerViewAdapter.getItemCount()",0,1,1,1
"dagkalis.georgios.selectablerecyclerview.SelectableRecyclerViewAdapter.getSelectedItemCount()",0,1,1,1
"dagkalis.georgios.selectablerecyclerview.SelectableRecyclerViewAdapter.getSelectedItems()",3,1,3,3
"dagkalis.georgios.selectablerecyclerview.SelectableRecyclerViewAdapter.getUnselectedItems()",0,1,1,1
"dagkalis.georgios.selectablerecyclerview.SelectableRecyclerViewAdapter.isSelected(Object)",0,1,1,1
"dagkalis.georgios.selectablerecyclerview.SelectableRecyclerViewAdapter.isSelected(int)",0,1,1,1
"dagkalis.georgios.selectablerecyclerview.SelectableRecyclerViewAdapter.onAtLeastOneItemSelected()",0,1,1,1
"dagkalis.georgios.selectablerecyclerview.SelectableRecyclerViewAdapter.onBindViewHolder(VH,int)",6,1,5,5
"dagkalis.georgios.selectablerecyclerview.SelectableRecyclerViewAdapter.onNoItemSelected()",0,1,1,1
"dagkalis.georgios.selectablerecyclerview.SelectableRecyclerViewAdapter.removeSelectedItems()",0,1,1,1
"dagkalis.georgios.selectablerecyclerview.SelectableRecyclerViewAdapter.removeUnselectedItems()",0,1,1,1
"dagkalis.georgios.selectablerecyclerview.SelectableRecyclerViewAdapter.selectAllItems()",2,1,3,3
"dagkalis.georgios.selectablerecyclerview.SelectableRecyclerViewAdapter.selectItem(Object)",2,1,3,3
"dagkalis.georgios.selectablerecyclerview.SelectableRecyclerViewAdapter.selectItem(int)",0,1,1,1
"dagkalis.georgios.selectablerecyclerview.SelectableRecyclerViewAdapter.setItemsDrawable(Drawable,Drawable)",0,1,1,1
"dagkalis.georgios.selectablerecyclerview.SelectableRecyclerViewAdapter.setSelectedItemBackgroundColor(int,int)",0,1,1,1
"dagkalis.georgios.selectablerecyclerview.SelectableRecyclerViewAdapter.unSelectAllItems()",1,1,2,2
"dagkalis.georgios.selectablerecyclerview.SelectableRecyclerViewAdapter.unSelectItem(Object)",2,1,3,3
"dagkalis.georgios.selectablerecyclerview.SelectableRecyclerViewAdapter.unSelectItem(int)",0,1,1,1

Class,OCavg,OCmax,WMC
"dagkalis.georgios.selectablerecyclerview.SelectableRecyclerViewAdapter",1.50,4,30

Package,v(G)avg,v(G)tot
"dagkalis.georgios.selectablerecyclerview",1.70,34

Module,v(G)avg,v(G)tot
"RecyclerView.SelectableRecyclerView",1.70,34

Project,v(G)avg,v(G)tot
"project",1.70,34

