Lines of code metrics,Sat, 15 May 2021 14:48:19 EEST
Method,CLOC,JLOC,LOC,NCLOC,RLOC
"dagkalis.georgios.selectablerecyclerview.SelectableRecyclerViewAdapter.checkIfAllItemsSelected()",3,4,10,6,8.20%
"dagkalis.georgios.selectablerecyclerview.SelectableRecyclerViewAdapter.getItemCount()",1,0,4,4,3.28%
"dagkalis.georgios.selectablerecyclerview.SelectableRecyclerViewAdapter.getItems()",1,n/a,n/a,2,1.64%
"dagkalis.georgios.selectablerecyclerview.SelectableRecyclerViewAdapter.getSelectedItemCount()",1,0,3,3,2.46%
"dagkalis.georgios.selectablerecyclerview.SelectableRecyclerViewAdapter.getSelectedItems()",1,0,9,9,7.38%
"dagkalis.georgios.selectablerecyclerview.SelectableRecyclerViewAdapter.getUnselectedItems()",1,0,5,5,4.10%
"dagkalis.georgios.selectablerecyclerview.SelectableRecyclerViewAdapter.isSelected(Object)",1,0,3,3,2.46%
"dagkalis.georgios.selectablerecyclerview.SelectableRecyclerViewAdapter.isSelected(int)",1,0,3,3,2.46%
"dagkalis.georgios.selectablerecyclerview.SelectableRecyclerViewAdapter.onAtLeastOneItemSelected()",4,3,4,1,3.28%
"dagkalis.georgios.selectablerecyclerview.SelectableRecyclerViewAdapter.onBindSelectableViewHolder(VH,int)",1,n/a,n/a,1,0.82%
"dagkalis.georgios.selectablerecyclerview.SelectableRecyclerViewAdapter.onBindViewHolder(VH,int)",7,0,18,13,14.75%
"dagkalis.georgios.selectablerecyclerview.SelectableRecyclerViewAdapter.onNoItemSelected()",5,4,5,1,4.10%
"dagkalis.georgios.selectablerecyclerview.SelectableRecyclerViewAdapter.removeSelectedItems()",0,0,4,4,3.28%
"dagkalis.georgios.selectablerecyclerview.SelectableRecyclerViewAdapter.removeUnselectedItems()",1,0,4,4,3.28%
"dagkalis.georgios.selectablerecyclerview.SelectableRecyclerViewAdapter.selectAllItems()",1,0,7,7,5.74%
"dagkalis.georgios.selectablerecyclerview.SelectableRecyclerViewAdapter.selectItem(Object)",2,0,6,6,4.92%
"dagkalis.georgios.selectablerecyclerview.SelectableRecyclerViewAdapter.selectItem(int)",1,0,3,3,2.46%
"dagkalis.georgios.selectablerecyclerview.SelectableRecyclerViewAdapter.setItemsDrawable(Drawable,Drawable)",1,0,5,5,4.10%
"dagkalis.georgios.selectablerecyclerview.SelectableRecyclerViewAdapter.setSelectedItemBackgroundColor(int,int)",0,0,5,5,4.10%
"dagkalis.georgios.selectablerecyclerview.SelectableRecyclerViewAdapter.unSelectAllItems()",2,0,6,6,4.92%
"dagkalis.georgios.selectablerecyclerview.SelectableRecyclerViewAdapter.unSelectItem(Object)",2,0,6,6,4.92%
"dagkalis.georgios.selectablerecyclerview.SelectableRecyclerViewAdapter.unSelectItem(int)",1,0,3,3,2.46%

Class,CLOC,JLOC,LOC
"dagkalis.georgios.selectablerecyclerview.SelectableRecyclerViewAdapter",39,11,122

Package,CLOC,CLOC(rec),JLOC,JLOC(rec),LOC,LOC(rec),LOCp,LOCp(rec),LOCt,LOCt(rec),NCLOC,NCLOCp,NCLOCp(rec),NCLOCt
"",n/a,28,n/a,11,n/a,129,n/a,129,n/a,0,n/a,n/a,124,n/a
"dagkalis",n/a,28,n/a,11,n/a,129,n/a,129,n/a,0,n/a,n/a,124,n/a
"dagkalis.georgios",n/a,28,n/a,11,n/a,129,n/a,129,n/a,0,n/a,n/a,124,n/a
"dagkalis.georgios.selectablerecyclerview",0,28,11,11,129,129,129,129,0,0,124,124,124,0

Module,JLOC,L(Groovy),L(HTML),L(J),L(KT),L(XML),LOC,LOCp,LOCt,NCLOC,NCLOCp,NCLOCt
"RecyclerView.SelectableRecyclerView",11,0,0,129,0,0,129,129,0,113,113,0

FileType,LOC,NCLOC
"Java",129,113

Project,CLOC,JLOC,L(Groovy),L(HTML),L(J),L(KT),L(XML),LOC,LOCp,LOCt,NCLOC,NCLOCp,NCLOCt
"project",39,11,0,0,129,0,0,129,129,0,113,113,0

